Block,Requirement,Reference candidate,State,Validation needed before CAD/manufacturing release
MDB connector,"6-pin MDB functional mapping; pin3 NC; pin1/2 power; pin4/5 signals; pin6 comm common",TBD keyed connector,Locked topology,"Physical connector drawing and harness continuity map"
Main isolated power,"20-42.5V normal MDB range plus ~45V high-line; >=15W; 5V >=3A; >=1.5kV isolation",Murata UEI15-050-Q48N-C,Candidate,"Footprint/pinout review; thermal; modem load; inrush"
Input current protection,"Prevent board/wiring fault from becoming uncontrolled machine-rail fault",TBD,Topology locked,"Measure converter inrush and coordinate with machine/MDB source capability"
Reverse polarity,"Protect against reversed power harness; adequate voltage margin",TBD,Topology locked,"Select >=75V-class solution with reviewed dissipation/surge margin"
Transient clamp,"Keep converter input below absolute maximum without conducting in normal/high-line operation",TBD,Validation,"Measure source impedance/transient; calculate clamp current/voltage"
Input filter,"Control converter conducted noise/inrush interaction",TBD,Validation,"Follow converter guidance and bench-test stability/EMI behavior"
5V modem bulk,"Prevent Air780 transmit burst from collapsing ISO_5V",TBD,Validation,"Scope ISO_5V during PPP/HTTPS bursts; check converter stability/inrush"
ESP32 power,"Stable 3.3V logic rail",ESP32-S3 dev-board regulator for EVT,Prototype,"Replace with dedicated reviewed regulator for integrated production board"
Cellular UART,"GPIO1 RX / GPIO2 TX on logic domain",Direct 3.3V UART,Locked,"Verify exact Air780 carrier logic levels/power connector before harness release"
DEX isolation,"Full data and power isolation between machine RS-232 and logic ground",Analog Devices ADM3251E,Candidate,"Current datasheet footprint/capacitors; isolation/layout review"
DEX 3.3V->5V,"ESP32 GPIO18 must reliably drive 5V DEX transceiver logic input",TI SN74AHCT1G125,Candidate,"Bench logic-level and no-back-power test"
DEX 5V->3.3V,"5V DEX transceiver logic output must not overvoltage ESP32 GPIO17",TI SN74LVC1G17,Candidate,"Bench output-clamp/logic-level and no-back-power test"
MDB Master-TX sensing,"Passive high-impedance isolated receive only; output to GPIO4",TBD,Engineering validation,"Measure pre/post attachment bus loading, waveform, timing, checksum rate"
MDB Master-RX sensing,"Passive high-impedance isolated receive only; output to GPIO5",TBD,Engineering validation,"Measure pre/post attachment bus loading, waveform, timing, checksum rate"
MDB active transmit,"No drive path fitted",None,Locked prohibited,"ERC/layout review and firmware compile-time passive guard"
USB service,"USB ground remains logic domain only",ESP32-S3 service USB,Locked,"Continuity and earth-path test with laptop/charger"
Isolation corridor,"No copper/vias/pours bridging machine and logic domains",PCB layout rule,Locked requirement,"DRC plus visual review plus bare-board isolation test"
Board size,"Safety and isolation take priority over original 30x30mm target",TBD,Not locked,"Shrink only after EVT electrical validation"
